neighbor_scope,metric,representation,query_id,query_split,neighbor_id,neighbor_split,rank,distance,same_state,same_municipality,neighbor_y
target_to_train,euclidean_pca,C0_base,AGC_128,PREDICCION,AGC_146,ENTRENAMIENTO,2,19.897227669951395,True,True,4.58
target_to_train,euclidean_pca,C0_base,AGC_128,PREDICCION,AGC_051,ENTRENAMIENTO,3,25.5267317166349,True,True,4.45
target_to_train,euclidean_pca,C0_base,AGC_128,PREDICCION,AGC_059,ENTRENAMIENTO,4,27.727883104796902,True,True,4.41
target_to_train,euclidean_pca,C0_base,AGC_128,PREDICCION,AGC_024,ENTRENAMIENTO,5,27.95899900914846,False,False,3.03
target_to_train,euclidean_pca,C0_base,AGC_129,PREDICCION,AGC_070,ENTRENAMIENTO,1,28.75456937350548,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_129,PREDICCION,AGC_081,ENTRENAMIENTO,2,29.640246241875367,True,True,3.7
target_to_train,euclidean_pca,C0_base,AGC_129,PREDICCION,AGC_079,ENTRENAMIENTO,3,29.85490363086546,True,True,3.3
target_to_train,euclidean_pca,C0_base,AGC_129,PREDICCION,AGC_064,ENTRENAMIENTO,4,31.37215437470149,True,False,4.51
target_to_train,euclidean_pca,C0_base,AGC_129,PREDICCION,AGC_080,ENTRENAMIENTO,5,31.379744715161237,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_130,PREDICCION,AGC_041,ENTRENAMIENTO,1,20.224873119321735,True,False,2.5
target_to_train,euclidean_pca,C0_base,AGC_130,PREDICCION,AGC_064,ENTRENAMIENTO,2,20.860617433145826,True,True,4.51
target_to_train,euclidean_pca,C0_base,AGC_130,PREDICCION,AGC_166,ENTRENAMIENTO,3,23.06565813598128,True,False,2.5
target_to_train,euclidean_pca,C0_base,AGC_130,PREDICCION,AGC_194,ENTRENAMIENTO,4,27.92434797546703,True,False,3.2
target_to_train,euclidean_pca,C0_base,AGC_130,PREDICCION,AGC_034,ENTRENAMIENTO,5,28.02972148669331,True,False,2.0
target_to_train,euclidean_pca,C0_base,AGC_136,PREDICCION,AGC_002,ENTRENAMIENTO,1,19.180996900077393,True,True,4.63
target_to_train,euclidean_pca,C0_base,AGC_136,PREDICCION,AGC_195,ENTRENAMIENTO,2,21.412294757122442,True,True,3.68
